key_mlbam,key_bbref,key_bbref_minors,key_fangraphs,name_last,name_first,name_given,name_suffix,name_matrilineal,birth_year,birth_month,birth_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last
436193,,jaronc001rya,NA,Jaroncyk,Ryan,Ryan Scott,,,1977,3,26,1995,2000,NA,NA
116513,jeffegr01,jeffer001gre,1006379,Jefferies,Gregg,Gregory Scott,,,1967,8,1,1985,2000,1987,2000
116515,jeffere01,jeffer001reg,1006381,Jefferson,Reggie,Reginald Jirod,,,1968,9,25,1986,2000,1991,1999
116516,jeffest01,jeffer001sta,1006382,Jefferson,Stan,Stanley,,,1962,12,4,1983,1994,1986,1991
116518,jelicch01,jelic-001chr,1006384,Jelic,Chris,Christopher John,,,1963,12,16,1985,1993,1990,1990
437693,,jenkin001cor,NA,Jenkins,Corey,Corey LaVester,,,1976,8,25,1995,1999,NA,NA
132961,jenkige01,jenkin001geo,690,Jenkins,Geoff,Geoffrey Scott,,,1974,7,21,1995,2008,1998,2008
443937,,jennin001lan,NA,Jennings,Lance,Lance Phillips,,,1971,10,3,1989,1995,NA,NA
116534,jensema01,jensen001mar,691,Jensen,Marcus,Marcus Christian,,,1972,12,14,1990,2006,1996,2002
116539,jeterde01,jeter-001der,826,Jeter,Derek,Derek Sanderson,,,1974,6,26,1992,2014,1995,2014
443968,,johnso003bri,NA,Johnson,Brian,Brian Lloyd,,,1966,12,16,1988,1992,NA,NA
116569,johnsch04,johnso008cha,523,Johnson,Charles,Charles Edward,,,1971,7,20,1993,2005,1994,2005
455585,,johnso001chr,NA,Johnson,Chris,Christopher Aubry,,,1968,12,7,1987,1996,NA,NA
116574,johnsda05,johnso003dan,1006443,Johnson,Dane,Dane Edward,,,1963,2,10,1984,1999,1994,1997
436450,,johnso005jer,NA,Johnson,J. J.,Jermane Jay,,,1973,8,31,1991,2000,NA,NA
150282,johnsjo08,johnso004jon,59,Johnson,Jonathan,Jonathan Kent,,,1974,7,16,1995,2007,1998,2003
